Title,Author,Condition,Price (AUD)
Sleightly Sensational,Bill Simon,Brand New,15
"Now You See It, Now You Don'T!",Bill Tarr,Pre-Owned,2
Capers With Papers,Bill West,Pre-Owned,7
The Magician's Companion,Bill Whitcomb Magical And Religious Symbolism,Nan,23
Cabaret Card Divination,Billy Mccomb And Ken De Courcy ,Brand New,2
Swami Mantra,Bizarre Sam Dalal Mentalism,Pre-Owned,59
Cosmos,Blackbox Magic Creations,$439.95,0
Cosmos,Blackbox Magic Creations Walett Predict Anything No Packaging,Pre-Owned,308
Magic Dungeon Mentalism,Bob And Howard Adams Wagner,Pre-Owned,126
Inside Magic,Bob Bell,Pre-Owned,9
The Art Of Mentalism,Bob Cassidy Very Collector's Workshop,Pre-Owned,187
Sharing My Secrets,Bob Fitch,Pre-Owned,8
Call The Witness,Bob Gunther & Sid Fleischman,Brand New,14
Great Britain '97,Bob King,Pre-Owned,15
That Extra Touch,Bob Mcallister,Pre-Owned,31
Sensational Mentalism Parts One & Two,Bob Nelson,Pre-Owned,62
Super-Mentality Two Books,Bob Nelson,Pre-Owned,77
Three Mentalism Books,Bob Nelson,Pre-Owned,60
Five Books,Bob Nelson Mentalism,Pre-Owned,77
Out Of Control,Bob Solari,Pre-Owned,80
Final Curtain,Borodin (Ulf Bolling),Pre-Owned,270
Sheherazade,Borodin (Ulf Bolling) & Bill Palmer,Pre-Owned,277
A Cure For Imsonia,Brad Henderson /,Pre-Owned,45
The Dance (Edition),Brad Henderson Expanded 3Rd,Brand New,116
The Dance (Inscribed),Brad Henderson Scarce,Pre-Owned,59
Best Of All Worlds,Brent Arthur James Geris,Brand New,80
The Magic Apple Live!,Brent Arthur James Geris,$149.00,0
Center Tear Technique,Bruce Bernstein,Pre-Owned,11
Classics,Bruce Bernstein,Pre-Owned,65
Twenty Effects For Psychic Entertainers,Bruce Bernstein,Pre-Owned,20
Card Secrets Of Bruce Cervon,Bruce Cervon,Pre-Owned,31
The Black And White Trick,Bruce Cervon,Pre-Owned,8
Ultra Cervon,Bruce Cervon,Pre-Owned,89
Classic Hard Cover Books,Bruce Elliott,$31.00,12
Classic Secrets Of Magic,Bruce Elliott,Pre-Owned,11
Magic As A Hobby,Bruce Elliott,Pre-Owned,23
Professional Magic Made Easy,Bruce Elliott,Pre-Owned,36
The Best In Magic (1St Edition),Bruce Elliott,Pre-Owned,9
The Best In Magic,Bruce Elliott. Magician Illustrated Drawings Of Tricks,Pre-Owned,18
Table Hopping,Bruce Posgate,Pre-Owned,23
Original Mysteries For Magicians,Brunel White,Pre-Owned,31
Spirit Theater,Burger,Pre-Owned,148
Encyclopedia Of Mentalism,Burling Hull,Pre-Owned,41
Sleights,Burling Hull,Pre-Owned,98
The Edison Of Magic,Burling Volta Hull,Pre-Owned,38
David And Donald Wilson's Paragon Nail Writer Book,Busby,Pre-Owned,18
The Dr. Q Book,C. Alexander,Brand New,31
High Spots: The Knockout Magic Of Caleb Wiles,Caleb Wiles,Brand New,46
The Radio Vision Mind Reading Code,Calostro,Pre-Owned,28
Book Zolar's Fortune Telling,Cards For Fun And Profit,Pre-Owned,12
Have Seance Will Travel,Carl (Brother Shadow) Herron,Pre-Owned,117
The Bunco Book,Carnival Midway Scams Walter B. Gibsongambling Cheats,Brand New,31
Book Of Oopses,Chan Canasta,Pre-Owned,25
An Evening With Charlie Miller,Charles & Robert Parrish (Editor) Miller,Pre-Owned,28
Dunninger,Charles Buckner,Pre-Owned,8
Magic For You,Charles C. Eastman,Pre-Owned,15
Manipulative Magic,Charles C. Eastman,Pre-Owned,62
Outs Precautions And Challenges,Charles Hopkins,Brand New,8
House Of Cards (Paul Rosini),Charles J. Romano,Pre-Owned,16
The Magician On The American Stage 1752-1874,Charles Joseph Pecor,Pre-Owned,108
The Magician On The American Stage,Charles Pecor Vntg Le #173,Pre-Owned,231
Blackstone Book Of Magic And Illusion,Charles Reynolds Regina Reynolds,Pre-Owned,6
Two Books,Charles W. Cameron Bizzare Magic,Pre-Owned,31
Eccentricks,Charlie Frye,Pre-Owned,78
Sleightly Absurd,Charlie Frye,Pre-Owned,69
Magic And Magicians,Chas. J. Carter,Pre-Owned,23
Thimble Trix; Thimble Thimon,Chester Dobski,Brand New,12
Odyssey 2,Chris Philpott,$99.95,0
Non Plus Ultra Hofzinser's Card Artistry,Christian (Magic Christian) Stelzel,Pre-Owned,231
"Beyond Look, Don'T See 10Th Anniversary Edition",Christopher Barnes ,Brand New,77
A Show For All Seasons,Christopher T. (Barnes) Magician,Pre-Owned,33
Mentalsim Incorporated,Chuck Hickok,Brand New,123
Pk Magic Book Vol One,Chuck Leach,$10.00,8
Houdini Vs. The Spiritualists,Chuck Romano,Brand New,31
Nite Club Thimble Magic,Chuck Smith,Brand New,12
Bartender Dice Routine,Clarke (Senator) Crandall,Brand New,14
How To Stack Dice For Fun And No $!,Clarke (Senator) Crandall,Pre-Owned,19
How To Entertain Children With Magic You Can Do,Clayton (The Great Merlini) Rawson,Pre-Owned,15
More Weird And Psychic Effects,Clettis Musson,Pre-Owned,25
Professional Card Magic,Cliff Green,Pre-Owned,71
Tricks And Traps,Clifton R. Wooldridge,Brand New,18
The Chronicles,Copyright Karl Fulves Hardback,Pre-Owned,119
13 Steps To Mentalism,Corinda,Brand New,54
Absolute Madness,Craig Petty,Pre-Owned,92
Savant Deck,Craig Petty And Lloyd Barnes,Brand New,42
Wizardcraft Ultimate Card Control,Craig R Dickson,Pre-Owned,16
Revelations,Dai Vernon,Nan,193
Select Secrets,Dai Vernon,Pre-Owned,21
The Peripatetic Walnuts,Dai Vernon,Pre-Owned,31
Swami Mantra,Dalal,Pre-Owned,59
If An Octopus Could Palm (Edition),Dan And Dave 2Nd,Pre-Owned,77
If An Octopus Could Palm Book,Dan And Dave Buck,Pre-Owned,310
Block Busters,Dan Block,Pre-Owned,42
Closeup Connivery #2,Dan Garrett,Pre-Owned,23
Underground,Dan Harlan,Pre-Owned,11
Close Up Magic Of,Dan Tong,Pre-Owned,63
Commercial Stand-Up Magic,Dan Tong,Pre-Owned,12
Dan Tong's Cabaret,Dan Tong,Pre-Owned,31
Five,Dani Daortiz #121/600,Pre-Owned,175
Three Booklets On Magic & Mentalism,Daniel Madison,Pre-Owned,31
Still Working Alone,Danny Archer,Pre-Owned,15
That’S Nuts,Danny Archer,Nan,53
Korem Without Limits,Danny; Stephen Minch (Editor) Korem,Pre-Owned,44
The Card Expert Entertains,Dariel Fitzgerald Antique,Pre-Owned,12
Contact Mindreading Expanded,Dariel Fitzkee,Brand New,18
Rings In Your Fingers,Dariel Fitzkee,Pre-Owned,24
Showmanship For Magicians,Dariel Fitzkee,Pre-Owned,40
The Card Expert Entertains,Dariel Fitzkee,Brand New,31
"Trick Brain, The",Dariel Fitzkee,Pre-Owned,38
The Trick Brain (Hc),Dariel Fitzkee-Lee Jacobs W/Dj 4Th Printing,Pre-Owned,32
"The Life And Times Of Alexander, The Man Who Knows",Darryl Beckmann,Brand New,200
Cardshark,Darwin Ortiz,Pre-Owned,135
Darwin Ortiz At The Card Table,Darwin Ortiz,Pre-Owned,93
Designing Miracles,Darwin Ortiz,Pre-Owned,116
Lessons In Card Mastery,Darwin Ortiz,$164.92,139
Scams & Fantasies With Cards,Darwin Ortiz,Pre-Owned,506
Strong Magic,Darwin Ortiz,Pre-Owned,139
The Annotated Erdnase,Darwin Ortiz,Pre-Owned,46
Birthday Magician's Handbook,Dave Fiscus,Pre-Owned,15
Seriously Silly,David (Silly Billy) Kaye,Pre-Owned,126
Our Magic,David & Nevil Maskelyne Devant,Pre-Owned,70
Illusions,David & Teesha Lafllin,Pre-Owned,87
More Power To You,David Acer,Brand New,31
Natural Selections,David Acer,Pre-Owned,56
Random Acts Of Magic,David Acer,Pre-Owned,77
Richard Sanders Close Up Assassin,David Acer,Pre-Owned,117
The Berg Book,David Avadon & Eric Lewis Joe Berg,Pre-Owned,62
The Berg Book Magic For Everyone,David Avadon Joe Berg,Pre-Owned,108
Zarrow A Lifetime Of Magic,David Ben,Pre-Owned,202
The Experts At The Card Table,David Ben And Magicana ,$45.00,58
Erdnase Unmasked Limited 500 Card,David Ben Softbound,Pre-Owned,55
A Question Of Memory (1St Edition),David Berglas Magic Mentalism Out Of Print,Pre-Owned,31
Magic The Great Illusions Revealed And Explained,David Charney,Pre-Owned,8
Timothy Wenks Misled As Performed,David Copperfield,Pre-Owned,15
Magic Made Easy,David Devant,Brand New,38
Secrets Of My Magic,David Devant,Pre-Owned,51
Tricks For Everyone,David Devant,Pre-Owned,30
How To Haunt Your House,David Eaton,Brand New,12
Children Laugh Louder,David Ginn,Nan,18
Children Love Animals Kid Show,David Ginn,Pre-Owned,54
Close-Up A-Ginn,David Ginn,Pre-Owned,6
Comedy Card On Back,David Ginn,Pre-Owned,15
Comedy Warm-Ups,David Ginn,Pre-Owned,8
Crash Course On Kid Shows,David Ginn,Pre-Owned,15
Laughter Legacy,David Ginn,Pre-Owned,15
Magic And Monsters,David Ginn,Pre-Owned,38
Be A Street Magician!,David Groves,Brand New,19
Christmas Magic,David Hagan,Pre-Owned,18
Chronicle Of Magic - (Edition),David Hibberd. Ltd #134 Of 200,Pre-Owned,121
Magic With A Message,David Hoy,Pre-Owned,15
Rudimental,David Jonathan,Brand New,23
Super Sized Silly,David Kaye,Pre-Owned,173
Behind The Smoke And Mirrors - All Volumes,David London,Pre-Owned,125
Magic Collectable Letters,David Price,Pre-Owned,212
Approaching Magic,David Regal,Pre-Owned,71
Close Up & Personal,David Regal,Pre-Owned,63
Constant Fooling One And Two,David Regal,Pre-Owned,46
Ha-Bracadabra Ii,David Regal,Brand New,31
Interpreting Magic,David Regal,Pre-Owned,139
Constant Fooling Volume 2,David Regal Brand And Sealed,Brand New,42
Comedy Magic Textbook,David Roper,Pre-Owned,1
A Lecture On Magic,David Roth,Pre-Owned,55
Solomon's Secrets,David Solomon,Brand New,82
The Wisdom Of Solomon,David Solomon And Jeff Siegfried ,Brand New,77
Made In France,David Stone,Pre-Owned,31
How Magic Works,David Williamson,Pre-Owned,77
Robert Heller Magician Magic History,Dean Carnegie,Brand New,23
Nana's Necklace,Dean Dill,Brand New,115
Handcrafted Card Magic,Denis Behr,Pre-Owned,235
The Great Illusionist,Derek Tait Golden Age Of Magic Magician History,Pre-Owned,9
Absolute Magic A Model For Close-Up Performance,Derren Brown,Brand New,585
Absolute Magic A Model For Close-Up Performance,Derren Brown,Pre-Owned,585
Absolute Magic A Model For Close-Up Performance,Derren Brown,Pre-Owned,154
Absolute Magic: A Model For Powerful Close-Up Perforamnce,Derren Brown,Pre-Owned,550
Pure Effect: Direct Mindreading And Magical Artistry,Derren Brown,Pre-Owned,299
