Title,Author,Condition,Price (AUD)
The Art Of Mental Bending,Guy Bavli ,Pre-Owned,11
Magicians Tricks,H. Hatton And A. Plate,Brand New,30
Making Magic Pay,H. Syril Dusenbery,Pre-Owned,23
Close Culls,Harapan Ong,Pre-Owned,37
Principia,Harapan Ong,Brand New,80
The Great Virgil,Hard To Find David Charvet,Brand New,323
How To Read People's Minds,Hardin J. Burlingame,Brand New,15
Tarbell Course In Magic Volume 1,Harlan Tarbell,Pre-Owned,123
Tarbell Course In Magic Volume 3,Harlan Tarbell,Pre-Owned,23
Tarbell Course In Magic Vol. 8,Harlan Tarbell And Sealed,Brand New,34
Thru The Dye Tube,Harold R. Rice,Pre-Owned,6
Magic And Mystery,Harry & Joseph Dunninger Houdini,Nan,20
Games You Can'T Lose,Harry & Turk Pipkin Anderson,Brand New,75
The Seven Best Techniques For Deepening Hypnosis,Harry Arons,Brand New,23
Magic For Beginners,Harry Baron,Pre-Owned,71
Blackstone Book Of Magic & Illusion,Harry Blackstone,Pre-Owned,8
Blackstone's Tricks Anyone Can Do,Harry Blackstone,Pre-Owned,19
Harry Green Says You Are A Magician,Harry Green,Pre-Owned,16
Houdini's Book Of Magic And Party Pastimes,Harry Houdini,Pre-Owned,131
Miracle Mongers And Their Methods,Harry Houdini,Pre-Owned,190
The Cancer Of Superstition,Harry Houdini And C.M. Eddy Jr,Brand New,54
Afterthoughts,Harry Lorayne,Pre-Owned,50
Apocalypse Volumes 1-5,Harry Lorayne,Pre-Owned,116
Apocalypse Volumes 6-10,Harry Lorayne,Pre-Owned,154
Best Of Friends Volume #3,Harry Lorayne,Brand New,259
Best Of Friends Volume 1,Harry Lorayne,Nan,151
Best Of Friends Volume 3,Harry Lorayne,Pre-Owned,286
Best Of Friends Volume One,Harry Lorayne,Pre-Owned,94
Close Up Card Magic,Harry Lorayne,Pre-Owned,32
Deck Sterity,Harry Lorayne,Pre-Owned,2
Deck-Sterity,Harry Lorayne,Brand New,26
Himber Wallet Book,Harry Lorayne,Pre-Owned,70
How To Perform Feats Of Mathematical Wizardry,Harry Lorayne,Pre-Owned,77
Jawdroppers!,Harry Lorayne,Pre-Owned,96
My Favorite Card Tricks,Harry Lorayne,Pre-Owned,23
Star Quality The Magic Of David Regal,Harry Lorayne,Pre-Owned,62
Star Quality: The Magic Of David Regal,Harry Lorayne,Pre-Owned,92
Trend Setters,Harry Lorayne,Pre-Owned,32
Secrets Of An Escamoteur,Harry Riser,Brand New,306
Secret Language Volume 1,Helder Guimaraes,Pre-Owned,335
*Unopened* Secret Language Volume 1,Helder Guimarães,Brand New,462
Reflections,Helder Guimarães,Pre-Owned,241
Evidence Of A Well Spent Life,Helge Thun,Brand New,69
Chinatown Quarter Magic,Hen Fetsch,Brand New,12
Fusion Color Changing Bag,Henry Evans Trick,Brand New,72
Cyclopedia Of Magic,Henry Hay,Pre-Owned,28
The Amateur Magicians Handbook (Edition),Henry Hay Revised Third,Pre-Owned,28
Foretell The Future,Henry Joseph Scott,Pre-Owned,15
Out Of The Spook Cabinet,Herman Weber,Brand New,18
The Legacy Of Don Alan--In A Class (1St),Himself-Comedy Magic Illusion - Ed,Pre-Owned,92
Gamagic No 12,Holborn London Magic,Pre-Owned,12
On Your Feet,Horace Bennett,Pre-Owned,23
Thurston The Magician And Company,Howard & Jane Thurston Shepard Thurston,Pre-Owned,88
Ibidem Issues 1 Thru 12,Howard Lyons,Pre-Owned,18
Super-Psychic Mental Effects,Howard P. Albright,Pre-Owned,19
84 Card Tricks,Hugh Morris,Pre-Owned,14
"""The World's Greatest Magic""",Hyla M. Clark Bonanza/Tree Publishing,Pre-Owned,5
The Encyclopedia Of Childrens Magic (1St Edition),Ian Adair Hard Cover,Pre-Owned,77
Stand Up,Ian Keable,Pre-Owned,103
Full Facts Book Of Cold Reading,Ian Rowland,Pre-Owned,18
Popular Magic For The Amateur Conjurer; Or The Amateur Conjurers Guide,Illusionist (Pseudonym),Nan,20
Conquest,Inglese And Laub Mentalism Plus Two Laub lets,Pre-Owned,154
Two Books,Ireland Magic Company,Pre-Owned,15
Irv's Triple Tansposition,Irv Weiner,Brand New,11
Magic Squares Methods And Tricks,J Solberg Magician ,Pre-Owned,97
Tidbits And Touches,J Tank,Pre-Owned,11
"Think Big For Musicians, Performers And Entertainers",J. C. Sum,Pre-Owned,12
The Open Book,J. H. Johnsongambling Cheats And Scams,Brand New,31
It Can Be Magic,J. Stewart Smith,Brand New,18
It Just Happens,J. Stewart Smith,Brand New,14
Modern Coin Magic,J.B. Bobo,Brand New,10
My Best,J.G. Thompson,Pre-Owned,5
John Inglesant,J.H. Shorthouse ,Pre-Owned,31
After Craft - More Card Trickery,J.K. Hartman,Pre-Owned,80
Card Devilry,J.K. Hartman,Pre-Owned,72
Card Dodgery,J.K. Hartman,$46.01,58
Card Dupery,J.K. Hartman,Pre-Owned,117
Loose Ends,J.K. Hartman,Brand New,9
Trickery Treats,J.K. Hartman,Pre-Owned,100
Ahead Of The Pack,Jack & Lewis Jones Avis,Pre-Owned,103
The Equivque Choice,Jack Dean,Pre-Owned,62
Magic Of The Masters,Jack Delvin,Pre-Owned,3
Magic Card Tricks,Jack Mingo,Pre-Owned,77
Minds In Close-Up,Jack Yates,$1.32,0
Jean Hugard,James B. Alfredson,Pre-Owned,2
Messing With Minds,James Biss,Pre-Owned,62
Magical Beginnings,James Breedon Magic,$14.62,0
The Hermann Chronicles,James Hamilton ,Pre-Owned,80
Sexy Magic,James Hodges Published,Brand New,231
21St Century Card Magic,James Swain,Pre-Owned,27
Miracles With Cards,James Swain,Pre-Owned,75
Magic Collectable Letters,James. B. Alfredson 's & 90's,$66.00,13
The Approach,Jamie D Grant,Pre-Owned,35
Preserving Mystery,Jamy Ian Swiss,Pre-Owned,126
Shattering Illusions,Jamy Ian Swiss,Pre-Owned,67
Theurgical Thread Ii,Jamy Ian Swiss,Pre-Owned,10
Thoughts,Jamy Ian Swiss,Pre-Owned,30
Topping The Deck The Perfect Move,Jamy Ian Swiss,Brand New,31
Hats For The Jizos A Kamishibai Play,Japan Storytelling Picture Cards,Pre-Owned,31
Game Changer,Jason Ladanye,Pre-Owned,69
Maskelyne's Book Of Magic,Jasper & Arthur Groom Maskelyne,Pre-Owned,184
Beyond Secrets,Jay Sankey,Pre-Owned,8
Making People Wonder,Jay Sankey,Pre-Owned,15
Sankey Goes Public,Jay Sankey,Pre-Owned,15
The Bobo Magic Show Book,Jb Bobo,$12.50,0
Expert Card Technique,Jean & Fred Braue Hugard,Pre-Owned,55
Show Stoppers With Cards,Jean & Fred Braue Hugard,Pre-Owned,12
Close-Up Magic,Jean Hugard,Brand New,55
Coin Magic,Jean Hugard,Pre-Owned,100
Encyclopedia Of Card Tricks,Jean Hugard,Pre-Owned,26
Modern Magic Manual,Jean Hugard,Pre-Owned,5
More Card Manipulations Series 1-4,Jean Hugard,Pre-Owned,2
Royal Road To Card Magic,Jean Hugard,Pre-Owned,21
Thimble Magic,Jean Hugard,Pre-Owned,19
"Clever And Pleasant Inventions, Part One",Jean Prevost,Pre-Owned,37
Larry Jennings Exclusive Release The Coin And Beer Can Published,Jeff Busby,Pre-Owned,20
The Show Doctor,Jeff Mcbride,Pre-Owned,24
"Cardwarp Tour, The",Jeff Pierce,Pre-Owned,6
Stone Cold Mental Volume I,Jeff Stone,$29.95,0
Stone Cold Mental 2,Jeff Stone ,Brand New,62
Inspirations,Jerry & Peter Duffie Sadowitz,Pre-Owned,82
Miser's Miracle,Jerry Andrus,Brand New,15
Safety Pin-Trix,Jerry Andrus,Pre-Owned,31
Special Magic,Jerry Andrus,Pre-Owned,31
Real World Magic,Jerry Macgregor,Pre-Owned,23
Basic Skill With Cards,Jerry Mentzer,Pre-Owned,3
Card File Two,Jerry Mentzer,Pre-Owned,38
Club Clues,Jerry Mentzer,Pre-Owned,12
Eddie Fechter's Dice Holdout Methods For Magicians,Jerry Mentzer,Pre-Owned,137
Fechter,Jerry Mentzer,Pre-Owned,46
Packet Tricks,Jerry Mentzer,Pre-Owned,15
"Counts, Cuts, Moves And Subtlety",Jerry Mentzer /,Pre-Owned,12
Cards On The Table,Jerry Sadowitz,Pre-Owned,103
Magic Of Ascanio The Structural Conception Of Magic,Jesus & Arturo Ascanio Etcheverry,Brand New,75
Zach Stacks,"Jim ""Zee"" Zachary",Pre-Owned,2
Kon Artiste,Jim Magus Bizarre Psychic Mentalism Magic Magick ,Pre-Owned,43
Flash Lites,Jim Sherman,Brand New,14
Professional Restaurant Magic,Jim Sisti,Pre-Owned,6
The Magic Menu The First Five Years,Jim Sisti,Pre-Owned,43
The Magic Menu Years 6-10,Jim Sisti,Pre-Owned,34
The Magic Menu The First Five Years (Hc),Jim Sisti • / Dj • • Excellent,Pre-Owned,38
Build Your Own Illusions,Jim Sommers,$18.00,21
Bewildering Impuzzibilities,Jim Steinmeyer,Brand New,40
Curious Impuzzibilities,Jim Steinmeyer,Brand New,35
Device And Illusion,Jim Steinmeyer,Pre-Owned,113
Devilish Impuzzibilities,Jim Steinmeyer,Brand New,29
Hiding The Elephant,Jim Steinmeyer,Pre-Owned,5
Impuzzibilities,Jim Steinmeyer,Pre-Owned,56
Jarrett,Jim Steinmeyer,Pre-Owned,147
Reminding & Deceiving,Jim Steinmeyer,Pre-Owned,115
The Magic Of Alan Wakeling,Jim Steinmeyer,Pre-Owned,54
Two Lectures On Theatrical Illusion,Jim Steinmeyer,Pre-Owned,79
Unexpected Impuzzibilities,Jim Steinmeyer,Brand New,31
Virtual Impuzzibilities,Jim Steinmeyer,Brand New,37
The Magic Of Alan Wakeling (Edition),Jim Steinmeyer ,Pre-Owned,148
Magic Science,Jim Wiese,Pre-Owned,8
One Balloon Zoo,Jimmy Davis,Pre-Owned,7
Between The Acts,Jimmy Ray,Brand New,12
At Your Finger Tips,Jimmy Shannon,Pre-Owned,19
The Spook Show A Routine For Magicians,Jimmy Stoppard,Brand New,15
Appearing & Vanishing Rice Bowl,Jl Magic Trick,Brand New,68
Further Tips On Zombie,Joe & Neil Foster (Compiler) Karson,Pre-Owned,8
Conjurer's Wisdon,Joe Hernandez,Brand New,15
A Sonata Of Magic (E-Book),Joe Pecore,Brand New,270
Newsletter,Joe Riding,Pre-Owned,11
Three Card Monte,Joe Riding,Pre-Owned,39
Stuthard's Trilby Deck,Joe Stuthard,Pre-Owned,12
Come A Little Closer,John (Editor) Derris,Brand New,34
Magic In The Making,John & Milton M. Smith Mulholland,Pre-Owned,216
"Magic Of John Fedko, The",John & Nick Merlo Fedko,Pre-Owned,23
Dear Mr. Fantasy,John Bannon,Pre-Owned,191
Destination Zero,John Bannon,Pre-Owned,63
High Caliber,John Bannon,Pre-Owned,416
Impossibilia,John Bannon,Pre-Owned,102
Mentalissimo,John Bannon,Brand New,78
Queen Spirit,John Bannon,Pre-Owned,39
Six. Impossible. Things.,John Bannon,Pre-Owned,105
Very Hush-Hush,John Bannon,Pre-Owned,78
Dear Mister Fantasy (1St Edition),John Bannon – Hard Cover! !,Pre-Owned,192
Mega 'Wave,John Bannon Card,Pre-Owned,74
Wild Wave,John Bannon Trick,Brand New,38
Extending Magic Beyond Credibility,John Booth,Brand New,23
Forging Ahead In Magic,John Booth,Pre-Owned,35
Keys To Magic's Inner World (1St Edition),John Booth,Pre-Owned,54
Marvels Of Mystery,John Booth,Pre-Owned,62
Wonders Of Magic,John Booth,Pre-Owned,31
Conjurians' Discoveries,John Booth- With Jacket,Pre-Owned,46
Meant To Be...,John Born,Pre-Owned,60
Book Of Secrets,John Carney,$169.16,120
Carney Uncovered,John Carney,Pre-Owned,31
Modern Conjuring,John Clucas Cannell,Pre-Owned,69
John Verse Two,John F. Mendoza,Pre-Owned,92
Mendoza Series Of Personal Instruction,John F. Mendoza,Pre-Owned,31
Throwing The Switch,John F. Mendoza,Pre-Owned,15
Concerning The Palming Of Cards,John Galsworthy,Brand New,62
Concerning The Palming Of Cards,John Galsworthy ,Brand New,50
Concerning The Palming Of Cards (Hc),John Galsworthy Vanishing Inc,Pre-Owned,54
Afterglowbook,John Graham,Brand New,37
Magic Between Friends Book,John Graham & Asi Wind,Nan,54
Afterglow The Anytime Act,John Graham Vanishing Inc,Pre-Owned,46
The Nth Degree,John Guastaferro,Brand New,92
Spellbound The Wonder-Filled Life Of Doug Henning,John Harrison,Pre-Owned,100
Greater Magic,John Hilliard,Pre-Owned,187
Six 6 Book,John Lovick And Dani Daortiz,Brand New,116
Five,John Lovick And Dani Daortiz And Numbered,Pre-Owned,493
Six,John Lovick And Dani Daortiz And Numbered,Pre-Owned,385
Vallarino,John Lovick And Jean-Pierre Vallarino ,Brand New,62
Switch Unfolding The $100 Bill Change (Hc),John Lovick Magican ,Brand New,31
Handsome Jack Etc,John Lovick. Out Of Print Magic Mentalism. ,Pre-Owned,215
Stage Flying 431 B.C. To Modern Times & The Hanlon Brothers,John Mckinven,Pre-Owned,41
A Texan Trixter,John Moehring,Pre-Owned,11
Magic For Entertaining,John Mulholland,Pre-Owned,20
Magic Of The World,John Mulholland,Pre-Owned,8
Mulholland's Book Of Magic,John Mulholland,Pre-Owned,29
Quicker Than The Eye,John Mulholland,Pre-Owned,31
Magic Lecture,John N. Jefferson,Pre-Owned,29
Five Booklets On Mentalism And Psychic Performance,John Riggs,Pre-Owned,154
The Psychic Agenda,John Riggs Professional,Pre-Owned,23
Scarne's Magic Tricks,John Scarne,Brand New,13
Scarne's Tricks,John Scarne,Pre-Owned,31
The Odds Against Me,John Scarne,Pre-Owned,31
The Circuited Sorcerer,John Sherwood Mentalism,Pre-Owned,18
Postidigitation,John Wilson,Brand New,54
Further Magic With Dots,John Yeager,Pre-Owned,18
Marlo Without Tears,Jon & Ed Marlo Racherbaumer,Pre-Owned,78
Simple Magic Tricks,Jon Allen,Pre-Owned,8
"Art Of Stealing Watches, The",Jon Jensen,Nan,31
Artful Dodges Of Eddie Fields,Jon Racherbaumer,Pre-Owned,49
Artful Dodges Of Eddie Fields,Jon Racherbaumer,Pre-Owned,83
At The Table,Jon Racherbaumer,Pre-Owned,34
Card Finesse,Jon Racherbaumer,Pre-Owned,62
Flashpoints - Ed Marlo's Full Tilt And Compleat Devilish Miracle,Jon Racherbaumer,Pre-Owned,24
Flashpoints Ed Marlo's Full Tilt Compleat Devilish Miracle,Jon Racherbaumer,Pre-Owned,77
"In A Class By Himself, The Legacy Of Don Alan",Jon Racherbaumer,$38.00,0
Magie Duvivier,Jon Racherbaumer,Pre-Owned,62
Marlo On Erdnase,Jon Racherbaumer,Pre-Owned,231
The Ascanio Spread,Jon Racherbaumer,Pre-Owned,31
The Wild Card Kit A Modular Experiment,Jon Racherbaumer  Only No Cards Cd,Pre-Owned,69
The Amazing Cigar,Jon Racherbaumer Giovanni Livera  Magic Tricks,Brand New,15
The Wild Card Kit A Modular Experiment (1St),Jon Racherbaumer Hb Ed,Pre-Owned,69
Kabbola,Jon Racherbaumer Sealed In Plastic Brand,Brand New,221
Magicana Of Havana,Jose De La Torre,Pre-Owned,10
Recipes For Deception,Joseph B,Brand New,108
Dunninger's Complete Encyclopedia Of Magic,Joseph Dunninger,Pre-Owned,9
How To Make A Ghost Walk,Joseph Dunninger,Brand New,27
Inside The Medium's Cabinet,Joseph Dunninger,Brand New,31
Monument To Magic,Joseph Dunninger,Pre-Owned,21
How Much Do You Know Chu's Magic,Joseph Herman Yee /,Pre-Owned,54
New Card Control Systems,Joseph K. Schmidt,Pre-Owned,123
More Fun With Magic,Joseph Leeming,Pre-Owned,28
Tricks And Stunts With Playing Cards,Joseph Leeming Hcdj,Pre-Owned,9
Fast Ones,Joseph Ovette,Pre-Owned,12
Mar-Jah's Publicity Miracles,Joseph Ovette,Brand New,23
Practical Telepathy,Joseph Ovette,Pre-Owned,77
Collected Tricks Of Charles T. Jordan,Joseph Smith & Karl Fulves,Pre-Owned,154
Three Books,Joseph White Mentalism,Pre-Owned,69
A Teen's Routines,Joshua Jay,Pre-Owned,31
Talk About Tricks,Joshua Jay,Pre-Owned,399
Destroyers Book,Joshua Jay And Troy Hooser,Brand New,46
Moments Book,Joshua Jay And Troy Hooser,Brand New,46
Celtic Messages,Joules Taylor 52 Symbol Cards And Color Guide,Pre-Owned,65
Memoirs And Confessions Of A Stage Magician,Joyce Brandon And Don Brandon,Pre-Owned,12
The Living End,Jr J.G. Thompson,Pre-Owned,2
"Five Points In Magic, The",Juan Tamariz,Brand New,51
"Magic Way, The",Juan Tamariz,Nan,46
Mnemonica On The Memorized Deck,Juan Tamariz,Pre-Owned,84
"Mnemonica, Bewitched Music Vol Ii",Juan Tamariz,Pre-Owned,79
The Five Points In Magic,Juan Tamariz,Pre-Owned,69
The Magic Rainbow,Juan Tamariz,Pre-Owned,125
The Magic Way,Juan Tamariz,Pre-Owned,33
Verbal Magic,Juan Tamariz,Pre-Owned,48
The Magic Way,Juan Tamariz And Hermetic Press ,Pre-Owned,46
The Magic Rainbow,Juan Tamariz And Stephen Minch,Brand New,77
The Five Points In Magic,Juan Tamariz Magic Theory ,Pre-Owned,49
Spiritual Applications For Tarbell 1,Jule L. Miller,Pre-Owned,33
The Coins Of Ishtar,Jules De Barros Coin Magic Out Of Print Hardback ,Pre-Owned,77
Spook Crooks!,Julien J. Proskauer,Brand New,31
Effervescent Effects,Julius P. Hopkins,Brand New,28
Manipulative Production & Card Routining,Justin Branch Two Volumes,Pre-Owned,54
Magic Secrets,Kajar (Reuben Bowen),Pre-Owned,18
Pandora's Book Of Monsters (1St),Kara Leopard Kickstarter Ed,Pre-Owned,37
Cryptology,Karl Fulves,Pre-Owned,62
Easy Magic,Karl Fulves,Pre-Owned,19
Epilogue,Karl Fulves,Pre-Owned,199
Foolproof Card Tricks For The Amateur Magician,Karl Fulves,Pre-Owned,6
Gambler's Third Lesson,Karl Fulves,Nan,9
Mexican Monte And Other Tricks,Karl Fulves,Pre-Owned,38
Parallel Lines,Karl Fulves,$29.99,0
Self-Working Mental Magic,Karl Fulves,Pre-Owned,17
Self-Working Number Magic,Karl Fulves,Brand New,6
Self-Working Table Magic,Karl Fulves,Brand New,6
The Chronicles,Karl Fulves,Brand New,270
The Chronicles Written (Hc),Karl Fulves  Magic Magician Collectors Quality,Pre-Owned,231
The Chronicles (1St Hc Edition),Karl Fulves Hardbound  Magic Magician,Pre-Owned,182
The Pallbearer's Review,Karl Fulves. 3 s. Volumes 1-10,$264.99,0
Another Book,Karrell Fox,Pre-Owned,20
Clever Like A Fox,Karrell Fox,Pre-Owned,34
Final Edition,Karrell Fox,$12.50,0
For My Next Trick,Karrell Fox,Pre-Owned,18
My Latest Book,Karrell Fox,Pre-Owned,23
Encyclopedia Of Cigarette Tricks,Keith Clark,Pre-Owned,25
Magic Tricks,Keith Fields,Pre-Owned,33
Ken Brooke's Magic The Unique Years,Ken Brooke,Pre-Owned,19
Bairn 41 Mentalism Effects With Attitude,Ken Dyne Mind Reading ,Pre-Owned,80
Maximum Entertainment,Ken Weber,Pre-Owned,47
"Levante, His Life, No Illusion",Kent Blackmore,$80.00,0
The Original Kolossal Killer,Kenton Knepper,Pre-Owned,2
Q The Proper Use Of Hidden Influence,Kenton Knepper Mentalism,Pre-Owned,92
Gramp's & Granny's Giggles Vol. 2,Kevin Detweiler. Ventriloquism. Magic,Pre-Owned,4
Confidence And Gambling Tricks,Kid Royal,Brand New,23
Manual Of Restaurant Magic,Kirk Charles,Pre-Owned,23
Standing Up Surrounded,Kirk Charles,Pre-Owned,23
Are You Mediumistic?,Korda Ramayne / Robert A. Nelson,Brand New,15
The Blue Bug Sorcery With Cigeratte Papers Sid Fleishman,Kreskin,Pre-Owned,18
World's Greatest Magic Silk Magic Vols. 1 & 2,L & L Publishing,Brand New,25
"The Great Book Of Magical Art, Hindu Magic & Occultism",L.W. De Laurence,Pre-Owned,80
Magic In Theory,Lamont And Wiseman,Pre-Owned,15
Coin Creations,Lamont Ream,Pre-Owned,19
Roger Klause In Concert,Lance Pierce,Pre-Owned,19
The Award-Winning Magic Of John Cornelius,Lance Pierce,Brand New,46
Neon Dreams,Lance Rich,Brand New,55
Neon Dreams Story Of Las Vegas Magic (1St Hc),Lance Rich Magician  Ed,Brand New,31
Anything Goes,Larry Becker,Pre-Owned,35
Mentalism For Magicians,Larry Becker,Pre-Owned,46
Picture This,Larry Becker,Pre-Owned,53
Szechuan Sampler,Larry Becker,Pre-Owned,80
The Spirit Compass,Larry Becker,Pre-Owned,35
Virtuosity,Larry Becker,Pre-Owned,31
Anything Goes,Larry Becker Mentalism,Pre-Owned,31
Master Money Magic,Larry Nudelman,Pre-Owned,62
Bouncing Back,Larue Robert D. Jr And Steve Spangler,Pre-Owned,27
Bull's-Eye Coin Tricks,Laurie & Ed Marlo Ireland,Brand New,14
How To Do Cigarette Tricks,Laurie L Ireland,Pre-Owned,12
Ireland's Famous Lessons In Dishonesty,Laurie L. Ireland,Pre-Owned,15
Ireland's Original Cups And Ball Routine,Laurie Lowell Ireland,Pre-Owned,12
Eugene Burger - From Beyond,Lawrence Hass,Brand New,123
Life Magic Ideas And Mysteries,Lawrence Hass,Pre-Owned,28
Eugene Burger The Workshop Transcripts,Lawrence Hass #681/850,Brand New,199
Pieces Of My Mind,Lee Earle,Pre-Owned,5
Syzygy Volume 6,Lee Earle Great Material!,Pre-Owned,131
"Super Dupery Stand-Up, Close-Up",Lee Earle Magic's Mad Hatter Lecture,Pre-Owned,23
Manifestations The Ultimate Seance,Lee Earle Mentalism Mediumship,Pre-Owned,20
Christmas Comedy For Pro Performers,Lee Jacobs,Pre-Owned,18
Thread Reference,Leo Behnke,Pre-Owned,20
Will Rock Presents Thurston's Mysteries Of India,Leo Behnke ,Brand New,48
The Incredible Dr. Jaks,Leo Behnke & Robert L. Bluemle With Slip Cover,Brand New,346
Slydini Encores,Leon Nathanson,Pre-Owned,77
Chemical Magic,Leonard A Ford,Pre-Owned,26
Roy Benson By Starlight,Levent And Todd Karr,Pre-Owned,996
The British Close Up Symposium,Leveridge,Pre-Owned,84
Malini And His Magic,Lewis (Ed) & Dai Vernon Ganson,Nan,72
Dai Vernon Book Of Magic,Lewis & Dai Vernon Ganson,Pre-Owned,263
Dai Vernon's Inner Card Trilogy,Lewis & Dai Vernon Ganson,Pre-Owned,92
Dai Vernon's Inner Secrets Of Card Magic,Lewis & Dai Vernon Ganson,Pre-Owned,91
Dai Vernon's Tribute To Nate Leipzig,Lewis & Dai Vernon Ganson,Pre-Owned,44
Dai Vernon's Ultimate Card Secrets,Lewis & Dai Vernon Ganson,$65.00,8
Pt Selbit Magical Innovator (1St),Lewis & Warlock Ed Hb #640 / 1000,Pre-Owned,262
Dai Vernon Cups And Balls,Lewis Ganson,Pre-Owned,62
Essential Dai Vernon,Lewis Ganson,Brand New,1026
Expert Manipulation Of Playing Cards,Lewis Ganson,Pre-Owned,152
Magic With Faucett Ross,Lewis Ganson,Pre-Owned,58
The Annotated Magic Of Slydini,Lewis Ganson,Nan,205
The Art Of Close Up Magic Vol. 1,Lewis Ganson,Pre-Owned,47
The Art Of Close Up Magic Volume 1,Lewis Ganson,Pre-Owned,37
The Complete Ganson Teach-In Series,Lewis Ganson,Nan,85
Unconventional Magic,Lewis Ganson,Pre-Owned,11
The Complete Ganson Teach-In Series,Lewis Ganson And L&L Publishing ,Pre-Owned,31
The Ganson Book,Lewis Ganson Supreme Magic,Pre-Owned,7
The Magic Of Slydini (Hc),Lewis Ganson Supreme Magic W/Dj Vntg,Pre-Owned,31
Encyclopedia Of Impromptu Card Forces,Lewis Jones,Pre-Owned,59
Persona,Lewis Jones,Pre-Owned,47
Best Of Friends Volume One,Lorayne,Pre-Owned,32
"Phantom Of The Card Table, Critical Edition",Lorie Piper And Ma Edward Mcgire,Brand New,60
Magic That Is Magic,Loring Campbell,Pre-Owned,15
More Effective Card Tricks,Louis F. Christianer,Pre-Owned,15
Bean Box,Louis Gaynor Discontinued Stevens Magic Emporium,Pre-Owned,328
Be Deceived,Louis Lam,Brand New,14
Watch Me Closely,Louis Lam,Brand New,14
The Nikola Card System,Louis Nikola,Brand New,11
Intuito The Pendulum Act,Luca Volpe,Brand New,89
The Psychic Show,Luca Volpe,Pre-Owned,92
Emotional Mentalism Vol 2,Luca Volpe And Titanas Magic ,Brand New,123
Building Blocks,Luke Jermay,Pre-Owned,108
Voyages (1St Edition),Luke Jermay + Numbered,Pre-Owned,306
Modern Mentalism (Paperback),Luke Jermay Ellusionist Publication ,Pre-Owned,46
Mind Museum (Pb),Luke Jermay Magic,Pre-Owned,31
The Card Expert,Lynn Searles,Brand New,14
Magic 1400S-1950S,M. Caveney N. Daniel,Brand New,69
The Doc And His Deck,M.D Jacob Taub,Pre-Owned,62
Amazing Card Miracles,M.S. (F.B. Sterling) Mahendra,Brand New,18
The Magic Apple Live 2Book,Magic Apple,Brand New,38
The Top Change,Magic Christian,Brand New,31
Golden Dawn Magic Guide To High Magical Arts,Magic Genre Cicero,Pre-Owned,15
The Table Book,Magic Inc,Pre-Owned,2
Chain Of Eight,Magic Methods Gambling Magic Routine,Pre-Owned,31
Sankey Panky (1St Edition),Magician Richard Kaufman Close-Up,Brand New,54
Win The Crowd (1St),Magician Steve Cohen Showmanship  Ed,Pre-Owned,12
Magic Closers,Magicseen,Pre-Owned,40
V 2 Expanded Edition,Manos Kartsakis Mentalism ,Pre-Owned,31
Marconick's Original Magic,Marconick,Pre-Owned,34
Encyclopedia Of Dove Magic,Marian (Marion) Chavez,Brand New,17
Eye-Popping Magic,Mark Elsdon,Pre-Owned,15
Gripping Magic,Mark Elsdon,Pre-Owned,12
Key Bending,Mark Walker,Pre-Owned,17
The Great Halloween Book,Mark Walker 4Th Printing,Pre-Owned,11
Mark Wilson's Complete Course In Magic,Mark Wilson,Pre-Owned,28
The Chop Cup Book (1St),Mark Wilson Ed Balls Close Read Discripton,Pre-Owned,31
The Chop Cup Book,Mark Wilson1St Ed-1979Vg,Pre-Owned,306
Fifty Tv Magic Tricks,Marshall Brodien,Pre-Owned,13
Cut The Cards,Martin Gardner,Brand New,14
Encyclopedia Of Impromptu Magic,Martin Gardner,Pre-Owned,172
Martin Gardner Presents,Martin Gardner,Pre-Owned,175
Catalog Of Magic,Marvin Kaye,Pre-Owned,26
Prophesy Matrix,Mato And Tcc Magic,Brand New,154
Maurice Fogel Gives Himself Away,Maurice Fogel,Pre-Owned,49
Max Maven's Book Of Fortunetelling,Maven And Notations,Pre-Owned,62
Annemann The Life And Times Of A Legend,Max (Editor) Abrams,Brand New,89
Prism The Color Series Of Mentalism,Max Maven,Brand New,62
The Blackpool,Max Maven,Pre-Owned,109
Prism The Color Series Of Mentalism Book,Max Maven 219 Pages,Pre-Owned,38
Parallax (Hc),Max Maven Mentalist Mentalism Magician Magic Tricks ,Pre-Owned,47
Magi Comedy,Mcathy Micky Hades Tricks Performance,Pre-Owned,31
Dynaswitch,Mehdi-Gary Oullet-Camirand Academy Of Magic Vntg Nos,Brand New,23
Meir Yedid's Close-Up Hallucinations,Meir; George Schindler (Editor) Yedid,Pre-Owned,23
Meir Yedid's Finger Fantasies,Meir; Harry Lorayne (Editor) Yedid,Brand New,46
Erik Jan Hanussen,Mel Gordon,Pre-Owned,7
Four Booklets,Mentalist Richard Mark,Pre-Owned,46
Three Books,Mentalist S.D. Threadgill,Pre-Owned,46
Complete Cups And Balls,Michael Ammar,Pre-Owned,178
Magic Of Michael Ammar,Michael Ammar,Pre-Owned,39
That Reminds Me,Michael Close,Pre-Owned,6
Workers 1,Michael Close,Pre-Owned,62
The Pages Are Blank,Michael Feldman ,Brand New,77
A Piece Of My Mind,Michael Murray,Pre-Owned,108
Act 1 & Act 2 Magic Books,Michael P Lair,Brand New,15
Intermediate And Advanced Coin Technique,Michael Rubinstein,Pre-Owned,73
